travel_method,event_travel,bus_days,accommodation_type,accommodation_cost,transport_cost,number_events_previously_attended,event_organisation_rating,course_planning_rating,social_programme_rating,quality_rating_livestream,website_info_rating,printed_programme_rating,daily_news_info,facebook_twitter_following,facebook_twitter_rating,residence,local_authority,overnight_stay_location
own vehicle,own vehicle,0,other camping / caravan site,0,75,7,excellent,excellent,excellent,NA,good,excellent,yes,no,NA,scotland,clackmannanshire,comrie
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,good,good,good,excellent,excellent,yes,no,NA,scotland,highland,perth
own vehicle,event bus,4,event campsite (comrie croft),120,140,6,average,good,not interested in social programme,NA,average,poor,no,no,NA,scotland,east dunbartonshire,edinburgh
own vehicle,event bus,5,event campsite (comrie croft),300,100,6,excellent,excellent,good,good,excellent,good,no,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,at home,140,150,4,excellent,excellent,not interested in social programme,good,excellent,average,no,no,NA,other uk,NA,stanley
own vehicle,own vehicle,0,event campsite (comrie croft),144,60,6,excellent,excellent,good,NA,good,good,no,yes,excellent,scotland,aberdeen city,crieff
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,average,excellent,excellent,excellent,very poor,excellent,some days,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,575,100,19,good,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,hotel,0,75,7,excellent,excellent,good,average,good,good,no,no,NA,other europe,NA,comrie
hired vehicle,hired vehicle,0,hotel,70,6,0,excellent,good,not interested in social programme,good,good,good,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,375,150,17,excellent,excellent,not interested in social programme,NA,excellent,average,no,yes,good,scotland,clackmannanshire,crieff
own vehicle,own vehicle,1,self-catering accommodation,1000,1000,2,excellent,good,not interested in social programme,NA,good,poor,no,yes,good,scotland,south ayrshire,comrie
own vehicle,own vehicle,0,guest house / b+b,250,150,1,excellent,excellent,good,good,excellent,good,some days,no,NA,other uk,NA,comrie
own vehicle,shared private vehicle,0,guest house / b+b,0,75,7,excellent,excellent,excellent,good,excellent,excellent,some days,no,NA,scotland,aberdeenshire,muthill
own vehicle,own vehicle,0,self-catering accommodation,2200,150,2,excellent,excellent,not interested in social programme,good,excellent,excellent,no,no,NA,other uk,NA,comrie
own vehicle,shared private vehicle,0,self-catering accommodation,700,0,10,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other europe,NA,comrie
hired vehicle,shared private vehicle,0,guest house / b+b,600,200,22,excellent,good,not interested in social programme,good,good,excellent,yes,yes,good,other uk,NA,comrie
rail,own vehicle,0,self-catering accommodation,450,250,1,average,good,not interested in social programme,NA,good,good,yes,yes,excellent,other uk,NA,crieff
own vehicle,own vehicle,0,with friends / relatives,800,50,4,good,excellent,not interested in social programme,excellent,poor,good,some days,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,good,average,NA,poor,average,yes,no,NA,other uk,NA,killin
own vehicle,own vehicle,0,self-catering accommodation,570,65,13,poor,good,not interested in social programme,NA,excellent,excellent,some days,no,NA,scotland,highland,comrie
rail,own vehicle,0,self-catering accommodation,1030,250,21,excellent,excellent,not interested in social programme,good,good,excellent,yes,no,NA,scotland,highland,comrie and perth
rail,own vehicle,2,event campsite (comrie croft),288,50,5,excellent,excellent,excellent,average,good,excellent,no,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,100,40,3,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA,lochlane & scone
hired vehicle,event bus,6,event campsite (comrie croft),0,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,scotland,edinburgh,comrie
own vehicle,own vehicle,0,event campsite (comrie croft),400,50,2,average,good,not interested in social programme,good,good,excellent,no,yes,excellent,other uk,NA,killin
air,hired vehicle,0,self-catering accommodation,500,30,4,good,excellent,not interested in social programme,average,excellent,excellent,yes,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,with friends / relatives,560,60,14,excellent,good,excellent,NA,good,average,yes,no,NA,scotland,aberdeenshire,balquhidder
hired vehicle,hired vehicle,0,hotel,900,100,5,excellent,good,excellent,NA,excellent,excellent,yes,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,900,100,5,excellent,excellent,excellent,good,excellent,good,yes,no,NA,other uk,NA,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,450,250,1,excellent,excellent,excellent,excellent,excellent,excellent,yes,yes,excellent,other uk,NA,st fillans
hired vehicle,públic transport,0,self-catering accommodation,0,75,7,good,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA,comrie
rail,event bus,3,event campsite (comrie croft),40,30,2,excellent,good,good,average,good,excellent,no,yes,excellent,rest of the world,NA,acharn
own vehicle,own vehicle,0,hotel,126,50,2017,excellent,excellent,not interested in social programme,average,good,good,some days,yes,good,other uk,NA,stirling
own vehicle,own vehicle,0,self-catering accommodation,2000,100,14,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,scotland,edinburgh,comrie
own vehicle,shared private vehicle,0,hotel,420,100,2,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,at home,180,75,23,excellent,excellent,excellent,average,good,good,some days,no,NA,scotland,scottish borders,birnam
own vehicle,own vehicle,0,event campsite (comrie croft),150,150,3,excellent,good,good,NA,excellent,excellent,no,no,NA,other uk,NA,"garrow, south of kenmore"
own vehicle,event bus,4,event campsite (comrie croft),250,150,1,good,good,not interested in social programme,NA,average,average,some days,yes,good,other uk,NA,comrie
hired vehicle + own vehicles,lift from station by fellow member,0,other camping / caravan site,100,40,3,excellent,excellent,excellent,good,excellent,excellent,some days,no,NA,scotland,tayside,"crieff, stanley"
own vehicle,own vehicle,0,event campsite (comrie croft),152,80,12,excellent,excellent,good,NA,good,good,no,no,NA,other uk,NA,comrie croft
own vehicle,own vehicle,0,with friends / relatives,200,90,20,excellent,good,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA,auchterarder
living there,own vehicle,0,military camp,90,100,16,excellent,good,excellent,NA,good,good,no,no,NA,scotland,highland,comrie croft
rail,hired vehicle,0,hotel and guest house,215,50,20,good,good,excellent,NA,good,excellent,yes,yes,good,other uk,NA,"edinburgh, perth, dundee, berwick."
own vehicle,own vehicle,0,self-catering accommodation,280,200,0,excellent,good,good,NA,excellent,good,no,no,NA,other uk,NA,dunblane
own vehicle,own vehicle,0,other camping / caravan site,250,150,1,excellent,excellent,not interested in social programme,NA,good,poor,some days,yes,good,other uk,NA,comrie
own vehicle,own vehicle,0,at home,320,100,0,excellent,excellent,not interested in social programme,average,average,good,some days,no,NA,other uk,NA,amulree
own vehicle,own vehicle,0,self-catering accommodation,550,150,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,no,NA,scotland,colchester,home
i live there.....,shared private vehicle,0,at home,70,6,0,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,322,55,15,excellent,excellent,not interested in social programme,NA,excellent,average,no,no,NA,other uk,NA,comrie crieff
own vehicle,own vehicle,0,other camping / caravan site,60,60,6,good,average,not interested in social programme,good,very poor,excellent,yes,yes,excellent,other uk,NA,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,1000,1000,2,excellent,excellent,not interested in social programme,good,excellent,good,no,no,NA,other uk,NA,lawera
own vehicle,own vehicle,0,self-catering accommodation,550,150,4,excellent,excellent,not interested in social programme,average,average,good,yes,no,NA,scotland,aberdeen,crieff hydro hotel
own vehicle,own vehicle,0,at home,250,150,1,good,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA,glenalmond
own vehicle,own vehicle,0,self-catering accommodation,1300,60,15,good,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other europe,NA,killan
own vehicle,own vehicle,0,event campsite (comrie croft),30,100,5,excellent,excellent,excellent,average,excellent,good,some days,no,NA,scotland,moray,kenmore
bus (multiple),event bus,7,other camping / caravan site,86,314.8,14,good,good,not interested in social programme,good,excellent,good,some days,yes,good,other uk,NA,aberfeldy
own vehicle,own vehicle,0,hotel,0,75,7,good,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA,wester fowlis
own vehicle,own vehicle,0,hotel,160,80,4,good,good,not interested in social programme,NA,good,good,some days,yes,good,other europe,NA,st fillans
rail,event bus,3,event campsite (comrie croft),420,100,2,good,good,good,NA,excellent,excellent,no,no,NA,scotland,east dunbartonshire,galashiels
own vehicle,own vehicle,0,other camping / caravan site,400,50,2,excellent,excellent,not interested in social programme,average,excellent,excellent,some days,no,NA,other uk,NA,new county hotel in perth
own vehicle,own vehicle,0,event campsite (comrie croft),0,75,7,good,good,not interested in social programme,average,average,average,no,no,NA,scotland,east lothian,dunkeld
own vehicle,own vehicle,0,other camping / caravan site,120,140,6,good,good,not interested in social programme,NA,average,poor,no,no,NA,other uk,NA,comrie croft6
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,good,not interested in social programme,NA,good,average,yes,yes,good,other uk,NA,luncarty
own vehicle,event bus,6,event campsite (comrie croft),160,80,4,excellent,excellent,good,NA,excellent,excellent,yes,yes,excellent,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,excellent,not interested in social programme,poor,good,good,some days,no,NA,other uk,NA,comrie croft and at home in edinburgh
bus,event bus,7,other camping / caravan site,450,250,1,excellent,good,not interested in social programme,NA,good,excellent,yes,yes,excellent,scotland,dumfries and galloway,crieff
own vehicle,own vehicle,0,self-catering accommodation,1200,100,7,excellent,excellent,good,excellent,excellent,excellent,some days,no,NA,other uk,NA,comrie
own vehicle,shared private vehicle,0,event campsite (comrie croft),380,110,10,excellent,excellent,not interested in social programme,NA,average,good,no,no,NA,scotland,pkc,"crieff, dunkeld"
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,excellent,excellent,excellent,excellent,some days,yes,good,other europe,NA,callander
own vehicle,own vehicle,0,self-catering accommodation,750,200,0,excellent,good,not interested in social programme,NA,average,average,some days,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,event campsite (comrie croft),420,100,2,good,good,excellent,good,good,average,no,no,NA,other europe,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,good,good,NA,excellent,average,some days,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,hotel,700,0,10,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other europe,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,486,100,28,good,good,excellent,excellent,good,good,yes,no,NA,other uk,NA,hpb holiday resort tigh mor
hired vehicle,shared private vehicle,2,event campsite (comrie croft),100,40,3,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,other uk,NA,home (dunkeld)
hired vehicle,hired vehicle,0,guest house / b+b,360,150,3,excellent,good,not interested in social programme,average,good,good,some days,yes,good,other uk,NA,fowlis wester
own vehicle,event bus,5,event campsite (comrie croft),100,40,3,excellent,excellent,average,NA,good,average,yes,yes,average,other uk,NA,hexham
own vehicle,event bus,6,event campsite (comrie croft),0,75,7,good,excellent,not interested in social programme,NA,good,good,no,no,NA,other uk,NA,creiff
hired vehicle,event bus,6,event campsite (comrie croft),70,6,0,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA,gleneagles
own vehicle,own vehicle,0,hotel,160,80,4,good,good,not interested in social programme,good,good,good,yes,no,NA,other uk,NA,comrie croft campsite
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,scotland,aberdeenshire,blair drummond
own vehicle,own vehicle,0,hotel,1000,1000,2,good,good,excellent,excellent,good,excellent,no,no,NA,other uk,NA,gargunnock
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,excellent,excellent,not interested in social programme,poor,average,excellent,no,no,NA,scotland,aberdeenshire,bankfoot
hired vehicle,hired vehicle,0,hostel,160,80,4,good,good,not interested in social programme,poor,good,good,no,no,NA,other uk,NA,st fillians
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,excellent,good,good,excellent,excellent,some days,yes,excellent,scotland,falkirk,scone
own vehicle,own vehicle,0,self-catering accommodation,3000,720,13,good,good,average,NA,good,good,yes,yes,average,other uk,NA,pitlochry
own vehicle,own vehicle,0,hostel,126,50,2017,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,other uk,NA,near lochearnhead
own vehicle,own vehicle,0,self-catering accommodation,2200,150,2,excellent,excellent,good,good,excellent,excellent,no,no,NA,other uk,NA,glen almond
air,hired vehicle,0,self-catering accommodation,0,75,7,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,rest of the world,NA,perth
own vehicle,own vehicle and cycle,0,event campsite (comrie croft),150,150,3,excellent,excellent,good,NA,average,good,no,no,NA,scotland,west lothian,houston comrie
own vehicle,own vehicle,0,event campsite (comrie croft),0,75,7,good,excellent,not interested in social programme,NA,excellent,average,no,no,NA,other uk,NA,"gauldry, fife"
own vehicle,own vehicle,0,self-catering accommodation,1500,1000,11,excellent,excellent,not interested in social programme,good,good,good,yes,yes,good,scotland,edinburgh,stanley
own vehicle,own vehicle,0,at home,450,250,1,good,good,not interested in social programme,average,good,good,some days,no,NA,other uk,NA,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,2000,100,14,excellent,good,very poor,good,excellent,good,no,no,NA,other uk,NA,glen eagles
rail,event bus,7,other camping / caravan site,250,150,1,excellent,excellent,average,NA,good,excellent,some days,yes,good,other uk,NA,dull
own vehicle,own vehicle,0,self-catering accommodation,450,250,1,excellent,excellent,excellent,good,good,good,yes,yes,good,other uk,NA,auchterarder
own vehicle,own vehicle,0,at home,0,75,7,excellent,excellent,not interested in social programme,good,excellent,excellent,some days,no,NA,other europe,NA,killin
air,hired vehicle,0,self-catering accommodation,1,1,5,excellent,excellent,excellent,excellent,excellent,excellent,yes,no,NA,other uk,NA,comrie croft
own vehicle,event bus,4,other camping / caravan site,200,90,20,excellent,poor,average,NA,excellent,excellent,yes,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,1700,300,10,excellent,good,not interested in social programme,NA,average,good,yes,no,NA,other uk,NA,dunkeld
hired vehicle,event bus,3,event campsite (comrie croft),100,40,3,excellent,good,average,good,good,excellent,yes,yes,good,scotland,glasgow,acharn cottages. killin
own vehicle,own vehicle,0,other camping / caravan site,126,50,2017,excellent,good,not interested in social programme,NA,good,good,no,no,NA,other uk,NA,broughty ferry
own vehicle,own vehicle,0,at home,200,90,20,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,good,other uk,NA,perth
air,hired vehicle,0,self-catering accommodation,300,100,6,good,good,good,average,good,good,some days,yes,good,other uk,NA,"comrie croft, dunkeld, faskally (pitlochry)"
own vehicle,own vehicle,0,self-catering accommodation,750,200,0,good,good,not interested in social programme,NA,good,average,some days,yes,excellent,scotland,east lothian,crieff
own vehicle,own vehicle,0,self-catering accommodation,750,200,0,good,excellent,not interested in social programme,good,good,excellent,no,no,NA,other uk,NA,lochearnhead
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,NA,excellent,good,no,no,NA,other europe,NA,fortingall nr aberfeldy
own vehicle,own vehicle,0,self-catering accommodation,842,140,4,good,average,excellent,excellent,excellent,excellent,some days,yes,average,scotland,city of edinburgh,balerno
own vehicle,shared private vehicle,0,self-catering accommodation,2200,150,2,good,good,excellent,NA,good,good,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA,comrie croft campsite
own vehicle,event bus,3,event campsite (comrie croft),0,75,7,excellent,good,not interested in social programme,NA,good,good,no,no,NA,other uk,NA,auchterarder
own vehicle,event bus,6,other camping / caravan site,220,120,16,excellent,excellent,average,NA,good,average,no,no,NA,other uk,NA,comrie croft
own vehicle,event bus,4,event campsite (comrie croft),0,75,7,excellent,good,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA,logierait
own vehicle,own vehicle,0,self-catering accommodation,1000,1000,2,excellent,excellent,not interested in social programme,excellent,average,good,no,no,NA,scotland,scottish borders,lochearnhead
own vehicle,event bus,4,event campsite (comrie croft),70,6,0,excellent,excellent,excellent,average,excellent,excellent,yes,yes,excellent,rest of the world,NA,crieff
own vehicle,own vehicle,0,event campsite (comrie croft),450,250,1,good,good,not interested in social programme,good,good,good,yes,no,NA,other uk,NA,fowlis wester
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,good,average,not interested in social programme,good,average,average,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,hotel,150,150,3,excellent,excellent,not interested in social programme,good,good,good,yes,no,NA,scotland,stirling,lochearnhead
hired vehicle,hired vehicle,0,hotel,800,50,4,poor,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,scotland,edinburgh,comrie
own vehicle,own vehicle,0,at home,70,6,0,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA,lochearnhead
hired vehicle,hired vehicle,0,self-catering accommodation,1500,1000,11,excellent,excellent,not interested in social programme,good,good,good,some days,no,NA,rest of the world,NA,"one night with friends in dunblane, otherwise commuted"
own vehicle,own vehicle,0,event campsite (comrie croft),0,75,7,excellent,excellent,excellent,NA,excellent,good,yes,yes,good,other uk,NA,crieff
own vehicle,cycle,0,event campsite (comrie croft),760,120,6,excellent,excellent,excellent,NA,excellent,good,some days,no,NA,other uk,NA,crieff and pitlochry
hired vehicle,event bus,4,event campsite (comrie croft),140,150,4,good,average,average,NA,average,average,no,yes,average,other uk,NA,balquhidder
own vehicle,own vehicle,0,self-catering accommodation,1800,60,14,excellent,good,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA,stirling university
hired vehicle,hired vehicle,0,hotel,70,6,0,good,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA,comrie croft
own vehicle,own vehicle,0,at home,220,120,16,excellent,excellent,not interested in social programme,NA,good,good,no,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,other camping / caravan site,350,60,5,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,other uk,NA,"balquidder, perth, grandtully"
hired vehicle,own vehicle,0,self-catering accommodation,900,100,5,excellent,excellent,average,good,excellent,excellent,yes,yes,excellent,other uk,NA,crieff
air,hired vehicle,0,guest house / b+b,176,100,12,excellent,excellent,excellent,average,good,good,some days,yes,good,other europe,NA,dollar
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,good,good,not interested in social programme,NA,excellent,good,no,no,NA,other uk,NA,perth
own vehicle,shared private vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,good,excellent,excellent,some days,yes,good,other uk,NA,methven
own vehicle,own vehicle,0,self-catering accommodation,380,110,10,excellent,good,excellent,good,excellent,excellent,yes,no,NA,other uk,NA,comrie croft campsite
own vehicle,own vehicle,0,self-catering accommodation,1600,200,8,good,good,very poor,good,good,good,yes,no,NA,scotland,lothian,crieff   blair atholl
own vehicle,own vehicle,0,self-catering accommodation,1500,1000,11,good,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA,"rosie ochil, forgandenny"
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,good,good,average,NA,excellent,excellent,yes,no,NA,other uk,NA,st fillans
own vehicle,own vehicle,0,self-catering accommodation,1000,1000,2,excellent,good,not interested in social programme,NA,good,excellent,yes,yes,excellent,other uk,NA,crief
own vehicle,own vehicle,0,self-catering accommodation,850,40,4,excellent,good,not interested in social programme,NA,good,average,yes,no,NA,scotland,east ayrshire,whitemoss
own vehicle,own vehicle,0,event campsite (comrie croft),200,90,20,excellent,excellent,not interested in social programme,average,good,good,some days,yes,good,scotland,west lothian,crieff
own vehicle,own vehicle,0,self-catering accommodation,900,100,5,average,good,not interested in social programme,good,good,excellent,yes,no,NA,scotland,glasgow,comrie
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,good,not interested in social programme,NA,good,good,some days,yes,good,other uk,NA,comrie
rail,shared private vehicle,2,event campsite (comrie croft),350,60,5,average,good,good,NA,excellent,good,some days,yes,good,other uk,NA,comrie
own vehicle,event bus,6,event campsite (comrie croft),500,30,4,excellent,excellent,not interested in social programme,NA,excellent,good,yes,yes,good,other europe,NA,auchterarder - pitlokry
own vehicle,own vehicle,3,event campsite (comrie croft),900,100,5,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,scotland,fife,callander
own vehicle,own vehicle,0,self-catering accommodation,2000,100,14,good,good,not interested in social programme,average,average,average,some days,no,NA,other uk,NA,loch tay
own vehicle,own vehicle,0,other camping / caravan site,0,75,7,average,average,good,NA,average,good,no,yes,average,scotland,pkc,scone
own vehicle,own vehicle,0,at home,70,6,0,excellent,excellent,good,poor,good,good,yes,no,NA,other uk,NA,braco
rail,cycle,0,event campsite (comrie croft),700,0,10,average,good,excellent,good,good,good,no,no,NA,scotland,dumfries & galloway,lochearnhead and aberfeldy
own vehicle,own vehicle,0,other camping / caravan site,155,150,3,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,1500,1000,11,good,average,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other uk,NA,killin and scone
hired vehicle,hired vehicle,0,self-catering accommodation,1100,200,0,average,average,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other europe,NA,luncarty
own vehicle,own vehicle,0,self-catering accommodation,1400,100,8,excellent,excellent,not interested in social programme,excellent,good,good,no,no,NA,other europe,NA,comrie
